feature,f_statistic,pvalue,is_discriminative
ec,340.0094092333066,1.248547788997294e-309,True
tds,340.0094092333066,1.248547788997294e-309,True
na,294.36581189385754,5.914793019303357e-285,True
sar,279.8149588544597,1.6175082136297338e-276,True
cl,120.96017207896398,2.75192754209908e-138,True
mg,90.88574310454263,4.062394777163451e-126,True
hco3,70.47370080945541,4.239446533958656e-93,True
ca,64.10100382317285,1.9936665966219913e-94,True
no3,56.450037317148855,1.4738829714830272e-84,True
so4,22.91536012770734,5.146462241318006e-36,True
k,16.363987346508303,1.998867528437895e-25,True
f,13.269281156361929,8.665035590632514e-20,True
ph,10.581800398426408,7.757255465954298e-16,True
co3,6.397141587901859,9.034116605777852e-09,False
gwl,0.7487468285818105,0.6642178161295299,False
