,gwl,ph,ec,tds,co3,hco3,cl,f,no3,so4,na,k,ca,mg,sar
gwl,1.0,-0.1043514460172787,-0.03273973604677489,-0.032739736046775006,0.003477550700305356,-0.06482994742864737,-0.054483891134267035,0.08676250279093983,-0.0004825367399201701,-0.13313543131711184,-0.08288596747328127,-0.0634630605751684,0.04562695630027811,-0.021886437899831558,-0.06902415213661507
ph,-0.1043514460172787,1.0,-0.16833970778550678,-0.16833970778550658,0.5696168867395297,-0.12285546861216184,-0.21327673631177269,0.09852919218863357,-0.09791445462951867,0.04678586452224564,0.08803275559295402,0.009273426278409422,-0.44581706655311354,-0.11106157443963334,0.24541797830711823
ec,-0.03273973604677489,-0.16833970778550678,1.0,0.9999999999999989,-0.08189387151684048,0.5791873137592816,0.9367503227798227,0.08101309898846931,0.5659820342750813,0.40304630178747775,0.8056226990550407,0.28933259196777245,0.6331678767865077,0.7328394232344658,0.4852316364005679
tds,-0.032739736046775006,-0.16833970778550658,0.9999999999999989,1.0,-0.08189387151684042,0.5791873137592809,0.9367503227798227,0.08101309898846913,0.565982034275082,0.40304630178747836,0.8056226990550416,0.28933259196777233,0.6331678767865072,0.7328394232344659,0.4852316364005676
co3,0.003477550700305356,0.5696168867395297,-0.08189387151684048,-0.08189387151684042,1.0,-0.043479540357512766,-0.1091055120635994,0.12238860090973425,-0.0986291058817428,-0.03325009478633659,0.09043767774753454,-0.02474228084387633,-0.21271794270415004,-0.11955503396954553,0.2382068590247397
hco3,-0.06482994742864737,-0.12285546861216184,0.5791873137592816,0.5791873137592809,-0.043479540357512766,1.0,0.33799266387799043,0.3906048853173844,0.1591689540713144,0.11072762261641186,0.633453659424517,0.16550873519113277,0.23638569106923457,0.368590947507879,0.5532385446431242
cl,-0.054483891134267035,-0.21327673631177269,0.9367503227798227,0.9367503227798227,-0.1091055120635994,0.33799266387799043,1.0,-0.05933632723732379,0.43944058969425975,0.36733756845491267,0.7043912758459101,0.23018311896863267,0.6829650505791505,0.7396454206999672,0.30661454950764294
f,0.08676250279093983,0.09852919218863357,0.08101309898846931,0.08101309898846913,0.12238860090973425,0.3906048853173844,-0.05933632723732379,1.0,-0.07091868697816962,0.055622910442774294,0.24742027841390393,-0.02239757471978736,-0.1243778656907027,-0.026484946318382847,0.39872936352589533
no3,-0.0004825367399201701,-0.09791445462951867,0.5659820342750813,0.565982034275082,-0.0986291058817428,0.1591689540713144,0.43944058969425975,-0.07091868697816962,1.0,0.13382631504021,0.3362586085111603,0.3359622611169504,0.41515114683393395,0.49281678020276465,0.1340416855607213
so4,-0.13313543131711184,0.04678586452224564,0.40304630178747775,0.40304630178747836,-0.03325009478633659,0.11072762261641186,0.36733756845491267,0.055622910442774294,0.13382631504021,1.0,0.4409097460051578,0.2931913216878939,0.16485226432789885,0.2741080386415805,0.30655445219480176
na,-0.08288596747328127,0.08803275559295402,0.8056226990550407,0.8056226990550416,0.09043767774753454,0.633453659424517,0.7043912758459101,0.24742027841390393,0.3362586085111603,0.4409097460051578,1.0,0.26200072976480354,0.19348866772937653,0.40551440126969934,0.8478841637929704
k,-0.0634630605751684,0.009273426278409422,0.28933259196777245,0.28933259196777233,-0.02474228084387633,0.16550873519113277,0.23018311896863267,-0.02239757471978736,0.3359622611169504,0.2931913216878939,0.26200072976480354,1.0,0.09226169666480043,0.14453007706443383,0.16526992032067767
ca,0.04562695630027811,-0.44581706655311354,0.6331678767865077,0.6331678767865072,-0.21271794270415004,0.23638569106923457,0.6829650505791505,-0.1243778656907027,0.41515114683393395,0.16485226432789885,0.19348866772937653,0.09226169666480043,1.0,0.33496690277569485,-0.08710366678061066
mg,-0.021886437899831558,-0.11106157443963334,0.7328394232344658,0.7328394232344659,-0.11955503396954553,0.368590947507879,0.7396454206999672,-0.026484946318382847,0.49281678020276465,0.2741080386415805,0.40551440126969934,0.14453007706443383,0.33496690277569485,1.0,0.07726695043342988
sar,-0.06902415213661507,0.24541797830711823,0.4852316364005679,0.4852316364005676,0.2382068590247397,0.5532385446431242,0.30661454950764294,0.39872936352589533,0.1340416855607213,0.30655445219480176,0.8478841637929704,0.16526992032067767,-0.08710366678061066,0.07726695043342988,1.0
