feature,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skewness,kurtosis
gwl,1095,11,0.9945750452079566,8.59041095890411,7.525315396347519,0.17,3.06,5.93,12.379999999999999,43.17,1.5166548569240894,2.4244365291784673
ph,1105,1,0.09041591320072333,7.849457013574661,0.45714959873472444,6.11,7.5,7.86,8.18,10.44,0.07117851450926291,0.7435960960142523
ec,1106,0,0.0,1362.23869801085,861.0611389751281,205.0,782.0,1179.5,1673.5,9499.0,2.325709363341573,10.772938687320195
tds,1106,0,0.0,871.8327667269439,551.079128944082,131.2,500.48,754.88,1071.04,6079.36,2.3257093633415726,10.772938687320192
co3,742,364,32.91139240506329,6.204897574123989,16.473540464520323,0.0,0.0,0.0,0.0,100.0,2.9494296469888535,8.665433993111142
hco3,742,364,32.91139240506329,294.15254266056604,131.8889340668211,30.0,198.37634045,283.01348565,370.0,1070.0,1.0430558723083987,2.878201144021215
cl,742,364,32.91139240506329,196.23989218328842,212.6175448470245,10.0,60.0,130.0,260.0,2480.0,3.7637068996237315,25.198768764655995
f,742,364,32.91139240506329,1.1286362533692724,0.8199323765233533,0.0431,0.61,0.93,1.3975,7.7,2.4578698305340088,10.384254598804091
no3,1106,0,0.0,75.0740895112812,97.45524682595486,0.097438,17.727072500000002,41.76345682,96.0760825,1028.0,3.404387155286995,18.053319024472067
so4,1106,0,0.0,40.26193490054249,54.090300639452416,1.0,14.0,23.0,41.25,860.0,5.628167133364765,57.639514911114496
na,1106,0,0.0,123.75975121359404,113.84022940899231,5.076154025,55.9375,94.0,152.0,1099.0,3.0497729537186915,14.490100125641021
k,1106,0,0.0,7.830750452079566,20.718523586812537,0.07,2.0,3.11,6.0,354.6,9.137855025894275,109.76633335470498
ca,1106,0,0.0,83.75623869801085,64.66407425692385,1.2,40.0,64.0,104.0,640.0,2.6338421396376845,12.432579196015523
mg,1106,0,0.0,51.05614466546112,39.213502803432384,4.862,24.31,43.758,68.068,457.028,2.625609162319775,14.656891874115356
sar,1106,0,0.0,2.7683809864792046,2.8240858207708945,0.181178277,1.3528790035,2.073154463,3.189043961,31.43506266,4.763545724207553,33.122404728528565
