feature,pearson_r,pvalue,strength
ec,0.8461509538713942,5.111955423817404e-304,Very Strong
tds,0.8461509538713942,5.111955423817404e-304,Very Strong
na,0.7559223962267063,2.4206916369888256e-205,Very Strong
cl,0.7198365192032777,1.913888929093712e-119,Very Strong
hco3,0.6004983273117279,6.667296892339387e-74,Strong
mg,0.5751904593489625,2.0457076045979498e-98,Strong
sar,0.5544957797036536,3.6242243064376173e-90,Strong
no3,0.5204322441765443,8.66865774457129e-78,Strong
ca,0.4584641578429459,1.4134039243200355e-58,Moderate
so4,0.36119714934165204,2.027410667653441e-35,Moderate
k,0.25812985350647355,2.7079362350506537e-18,Weak
f,0.1540966648029644,2.490365449795969e-05,Weak
ph,-0.10719418937443806,0.00035758620211221457,Weak
gwl,-0.04496801615539355,0.13699378055458433,Negligible
co3,-0.008217781207445674,0.8231649971852844,Negligible
