feature,low_risk_mean,high_risk_mean,difference,t_statistic,pvalue,significant
ec,1132.0954356846473,2924.6197183098593,1792.524282625212,-32.270787015688654,1.8316142438709738e-161,True
tds,724.5410788381744,1871.7566197183098,1147.2155408801354,-32.270787015688654,1.8316142438709738e-161,True
na,98.69781378178942,293.8985377224648,195.2007239406754,-23.28288534047449,7.19292028375656e-98,True
cl,144.53560371517028,544.1666666666666,399.63106295149635,-22.140644274249198,9.766850060588339e-84,True
no3,56.3164354985166,202.4147829500493,146.0983474515327,-19.271622619598237,1.446122979020212e-71,True
mg,43.60740871369295,101.62361971830985,58.016211004616906,-18.936468315640333,1.8017717313885583e-69,True
ca,73.22240663900415,155.26760563380282,82.04519899479867,-15.583849105982985,1.213831531300272e-49,True
sar,2.3153431429948133,5.843933670415494,3.5285905274206804,-15.29567074974176,4.785608329764322e-48,True
hco3,272.9235255257585,437.00613713020834,164.08261160444982,-12.510449554374013,1.0316948589515471e-32,True
so4,33.98547717842324,82.87112676056339,48.88564958214015,-10.544004403858093,7.833378555229323e-25,True
k,5.9944087136929465,20.29718309859155,14.302774384898603,-7.890089947640345,7.230651567906425e-15,True
ph,7.862959501557632,7.757887323943661,-0.10507217761397047,2.5632943291779053,0.010500107282555859,True
f,1.1088252321981424,1.2619479166666665,0.15312268446852406,-1.7095195066490414,0.08777399989438402,False
co3,6.027916408668731,7.395833333333333,1.367916924664602,-0.7589242002666119,0.44813956193531995,False
gwl,8.645854297693921,8.215283687943261,-0.4305706097506601,0.6339830072675834,0.5262245645453771,False
