feature,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers
co3,0.0,0.0,0.0,0.0,0.0,118,15.902964959568733
so4,14.0,41.25,27.25,-26.875,82.125,134,12.115732368896927
k,2.0,6.0,4.0,-4.0,12.0,131,11.844484629294756
no3,17.727072500000002,96.0760825,78.34900999999999,-99.79644249999998,213.5995975,76,6.871609403254973
sar,1.3528790035,3.189043961,1.8361649574999999,-1.40136843275,5.94329139725,70,6.329113924050633
na,55.9375,152.0,96.0625,-88.15625,296.09375,68,6.1482820976491865
f,0.61,1.3975,0.7875,-0.5712499999999999,2.57875,37,4.986522911051213
cl,60.0,260.0,200.0,-240.0,560.0,34,4.5822102425876015
ec,782.0,1673.5,891.5,-555.25,3010.75,50,4.520795660036167
tds,500.48,1071.04,570.56,-355.3599999999999,1926.8799999999999,50,4.520795660036167
ca,40.0,104.0,64.0,-56.0,200.0,49,4.430379746835443
mg,24.31,68.068,43.757999999999996,-41.327,133.70499999999998,42,3.7974683544303796
gwl,3.06,12.379999999999999,9.319999999999999,-10.919999999999996,26.359999999999996,31,2.8310502283105023
hco3,198.37634045,370.0,171.62365955,-59.05914887500006,627.435489325,10,1.3477088948787062
ph,7.5,8.18,0.6799999999999997,6.48,9.2,7,0.6334841628959276
