Column,2018_Missing%,2018_Present,2019_Missing%,2019_Present,2020_Missing%,2020_Present
CO3,0.0,Yes,0.0,Yes,0.0,Yes
Ca,0.0,Yes,0.0,Yes,0.0,Yes
Cl,0.0,Yes,0.0,Yes,0.0,Yes
Classification,0.0,Yes,0.0,Yes,0.0,Yes
Classification_RSC,0.0,Yes,0.0,Yes,0.0,Yes
EC,0.0,Yes,0.0,Yes,0.0,Yes
F,0.0,Yes,0.0,Yes,0.0,Yes
HCO3,0.0,Yes,0.0,Yes,0.0,Yes
K,0.0,Yes,0.0,Yes,0.0,Yes
Mg,0.0,Yes,0.0,Yes,0.0,Yes
NO3,0.0,Yes,0.0,Yes,0.0,Yes
Na,0.0,Yes,0.0,Yes,0.0,Yes
SAR,0.0,Yes,0.0,Yes,0.0,Yes
SO4,0.0,Yes,0.0,Yes,0.0,Yes
TDS,0.0,Yes,0.0,Yes,0.0,Yes
TH,0.0,Yes,0.0,Yes,0.0,Yes
district,0.0,Yes,0.0,Yes,0.0,Yes
era5_precip_annual_mm,0.0,Yes,0.0,Yes,0.0,Yes
era5_precip_monsoon_mm,0.0,Yes,0.0,Yes,0.0,Yes
era5_precip_premonsoon_mm,0.0,Yes,0.0,Yes,0.0,Yes
era5_soil_moisture_annual,0.0,Yes,0.0,Yes,0.0,Yes
era5_soil_moisture_monsoon,0.0,Yes,0.0,Yes,0.0,Yes
era5_soil_moisture_pre,0.0,Yes,0.0,Yes,0.0,Yes
gwl,0.0,Yes,0.0,Yes,0.0,Yes
lat_gis,0.0,Yes,0.0,Yes,0.0,Yes
long_gis,0.0,Yes,0.0,Yes,0.0,Yes
mandal,0.0,Yes,0.0,Yes,0.0,Yes
pH,0.0,Yes,0.0,Yes,0.0,Yes
rsc meq / l,0.0,Yes,0.0,Yes,0.0,Yes
village,0.0,Yes,0.0,Yes,0.0,Yes
year,0.0,Yes,0.0,Yes,0.0,Yes
