Model,Parameter,Lower_Bound,Upper_Bound,Type
catboost,iterations,1000.0,14000.0,discrete
catboost,depth,4.0,8.0,discrete
catboost,learning_rate,0.001,0.05,continuous
catboost,l2_leaf_reg,1.0,10.0,discrete
catboost,min_data_in_leaf,10.0,27.0,discrete
lightgbm,n_estimators,500.0,5000.0,discrete
lightgbm,max_depth,4.0,10.0,discrete
lightgbm,learning_rate,0.001,0.1,continuous
lightgbm,num_leaves,15.0,127.0,discrete
lightgbm,min_child_samples,5.0,50.0,discrete
lightgbm,reg_alpha,0.0,1.0,continuous
lightgbm,reg_lambda,0.0,1.0,continuous
xgboost,n_estimators,500.0,5000.0,discrete
xgboost,max_depth,3.0,9.0,discrete
xgboost,learning_rate,0.001,0.1,continuous
xgboost,subsample,0.6,1.0,continuous
xgboost,colsample_bytree,0.6,1.0,continuous
xgboost,reg_alpha,0.0,1.0,continuous
xgboost,reg_lambda,0.5,2.0,continuous
xgboost,min_child_weight,1.0,5.0,discrete
ft_transformer,d_token,16.0,64.0,discrete
ft_transformer,n_heads,1.0,4.0,discrete
ft_transformer,n_layers,1.0,2.0,discrete
ft_transformer,dropout,0.0,0.3,continuous
ft_transformer,learning_rate,0.0001,0.01,continuous
ft_transformer,batch_size,16.0,32.0,discrete
spatial_gnn,k_neighbors,3.0,10.0,discrete
spatial_gnn,hidden_dim,16.0,64.0,discrete
spatial_gnn,n_layers,1.0,2.0,discrete
spatial_gnn,dropout,0.0,0.3,continuous
spatial_gnn,learning_rate,0.0001,0.01,continuous
coral,hidden_dim,16.0,64.0,discrete
coral,n_layers,1.0,2.0,discrete
coral,dropout,0.0,0.3,continuous
coral,learning_rate,0.0001,0.01,continuous
coral,batch_size,16.0,32.0,discrete
