Feature,Importance
Cl,0.34981541879222783
SO4,0.2518646666785595
Na,0.19454836468303957
mandal,0.1476263410535387
NO3,0.13733172641997152
EC,0.13300410455113523
gwl,0.1144468534163766
HCO3,0.10316224923587573
Mg,0.09453239196255693
TH,0.0868827583275215
F,0.08667148932505922
long_gis,0.08592941732670498
pH,0.08216302889313788
Ca,0.08192376924612609
SAR,0.08039585685687142
village,0.0792892340263658
lat_gis,0.07220846891651178
district,0.07204276310099729
CO3,0.054262548506346764
K,0.046243944958313105
TDS,0.0
